ts	phase	decision	why	evidence	result
2026-08-21T23:35:25Z	frame	Phase 8 remaining is route IA plus Builds list plus Production scope	Theme catalog is a one-way visual choice the plan still leaves open. Printer queue stays Phase 9.	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	open
2026-08-21T23:42:32Z	workflow	architect skipped for Production split	Phase 8 already named GlobalSection vs BuildSection. Scope is profile query presence, not a new type.	web/apps/web/src/lib/siteMap.ts productionScopeFromSearch	accepted
2026-08-21T23:42:32Z	production	Global Production is /production without profile. Build Production keeps ?profile=	Spine Production was sending people into the active Build. Global and Build jobs are different.	web/apps/web/src/App.tsx ProductionRoute	tests green
2026-08-21T23:42:32Z	builds	Builds list search, name/recent sort, no 16-row cap, Checkoff and Production links	One list has to work for small and large collections. Cap was a leftover desk-farm split.	web/apps/web/src/lib/plansList.ts filterPlansList	tests green
2026-08-21T23:42:32Z	copy	New Build copy in picker and leftover Parts/Progress fallbacks	Chrome still said plan and Parts after the routes moved.	web/apps/web/src/components/PlanPicker.tsx	tests green
2026-08-21T23:42:32Z	verify	web 454 passed, inventory 4 passed, tsc clean	Prove against the test suite and inventory, not a compile-only check.	npm test -w @print-partner/web -- --run	VERIFIED
2026-08-21T23:42:32Z	open	Visual catalog, theme sketches, and printer-job aggregate stay open	Phase 8 asked for three visual sketches before a theme rebase. Printer queue is Phase 9. Global Production uses remaining Checkoff as the aggregate we already have.	docs/superpowers/plans/2026-08-19-printpartner-stabilization/phase-8-site-structure.md	open
2026-08-21T23:48:13Z	production	Build Production lives at /export. Global Production stays /production.	Library vs Sources already split that way. Branching one path on profile inferred the wrong scope.	web/apps/web/src/lib/siteMap.ts buildSectionFromPath	tests green
2026-08-21T23:48:13Z	copy	Deleted unused WelcomePage. Remaining Progress/Export chrome now says Checkoff/Production.	IA pass found dead welcome tests and leftover stage names after the route move.	web/apps/web/src/pages/WelcomePage.tsx	deleted
2026-08-21T23:50:28Z	audit	Row 2 superseded. productionScopeFromSearch is gone. Distinct paths replaced query-scope.	Trail review caught a deleted helper still cited as accepted.	commit 83c784f web/apps/web/src/lib/siteMap.ts:53	superseded
2026-08-21T23:50:28Z	audit	Row 3 superseded. ProductionRoute is gone. /production?profile= is only a redirect to /export.	Same pattern as /parts to /plan. Not the page owner.	commit 83c784f web/apps/web/src/App.tsx:74-80	shim
2026-08-21T23:50:28Z	verify	After /export split. web 451 passed, inventory 4 passed, tsc clean.	Row 6 was logged before the path correction. WelcomePage tests were deleted so the count dropped.	commit 83c784f npm test -w @print-partner/web -- --run	VERIFIED
2026-08-21T23:50:28Z	open	Global Production is still remaining-Checkoff across Builds, not live jobs, verify, failures, or recent work.	Farm APIs exist. This page does not mount them. Visual catalog still open. In-app browser pass not run.	web/apps/web/src/pages/GlobalProductionPage.tsx	open
2026-08-21T23:50:28Z	production	Build Production owner is ExportPage at /export. Helper is productionRoute.	Reverses the earlier /export to /production redirect. Chrome label stays Production.	commit 83c784f web/apps/web/src/lib/routes.ts:35-37 web/apps/web/src/App.tsx export route	landed
